bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,building_age,renovated_year,lat,long,sqft_living15,sqft_lot15,year,month
4,2.25,2070,8893,2.0,0,0,4,8,2070,0,28,28,47.4388,-122.162,2390,7700,2014,10
5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,37,37,47.6784,-122.285,2370,6283,2014,8
4,2.5,3770,10893,2.0,0,2,3,11,3770,0,17,17,47.5646,-122.129,3710,9685,2014,8
3,3.5,4560,14608,2.0,0,2,3,12,4560,0,25,25,47.6995,-122.228,4050,14226,2015,3
3,2.5,2550,5376,2.0,0,0,3,9,2550,0,10,10,47.6647,-122.083,2250,4050,2014,7
4,2.0,1710,8288,1.5,0,0,3,7,1710,0,44,44,47.3947,-122.174,1710,7200,2014,8
4,2.5,2690,8036,2.0,0,0,4,9,2690,0,27,27,47.6596,-122.144,2420,8087,2014,8
3,2.5,1800,4400,1.0,0,0,5,7,1350,450,44,44,47.6599,-122.396,1920,4400,2014,10
3,2.5,1600,2610,2.0,0,0,3,8,1600,0,9,9,47.5344,-122.068,1445,1288,2014,8
2,1.0,910,3600,1.0,0,0,4,7,910,0,105,105,47.6341,-122.361,1720,3600,2014,5
3,1.0,1830,4400,1.5,0,0,4,8,1720,110,85,85,47.6052,-122.3,1650,4400,2015,4
3,1.75,1930,14389,1.0,0,0,3,7,1130,800,52,17,47.7733,-122.317,1730,14378,2015,3
2,1.0,1410,7000,1.0,0,0,3,7,1410,0,47,47,47.4908,-122.223,1540,6000,2015,1
3,2.25,1960,1985,2.0,0,0,3,7,1750,210,12,12,47.5419,-122.289,1760,1985,2015,5
3,1.0,1140,3240,1.5,0,0,4,6,1140,0,105,105,47.7093,-121.364,1140,4700,2015,3
4,3.75,4130,12320,2.0,0,0,3,11,4130,0,13,13,47.5194,-122.151,3690,11227,2014,6
6,1.0,1430,20620,2.0,0,0,3,7,1430,0,61,61,47.6255,-122.209,2450,10080,2015,2
4,3.25,4360,91158,1.0,0,0,3,10,3360,1000,21,21,47.6398,-121.985,3540,90940,2014,10
4,1.0,1440,7215,1.5,0,0,3,7,1440,0,45,45,47.7133,-122.212,1150,7215,2014,10
4,2.25,1960,14834,1.0,0,0,4,8,1330,630,39,39,47.7434,-122.095,1540,15000,2015,2
5,2.0,1910,5508,1.0,0,0,3,7,1020,890,46,46,47.7074,-122.349,1030,7440,2014,9
4,4.25,5710,24663,2.0,0,0,3,11,5710,0,7,7,47.3065,-122.158,4060,23847,2014,11
3,2.75,2590,223027,2.0,0,0,3,9,2590,0,31,31,47.6145,-122.001,3410,212137,2014,11
3,1.5,2790,6900,1.0,0,2,3,8,1700,1090,59,59,47.7328,-122.288,2410,8100,2014,10
3,3.25,1530,1565,2.0,0,0,3,8,1280,250,9,9,47.6179,-122.312,1530,1381,2014,6
3,2.25,1920,10961,2.0,0,0,3,8,1920,0,33,33,47.6432,-122.057,2000,10706,2014,7
3,1.0,1010,10800,1.0,0,0,4,7,1010,0,42,42,47.4483,-121.773,1370,9500,2014,8
1,1.0,520,4800,1.0,0,0,3,5,520,0,84,84,47.5533,-122.363,800,4960,2014,12
4,2.75,2420,8438,2.0,0,0,3,8,2420,0,18,18,47.2089,-122.011,2270,8770,2015,3
2,1.5,1110,3600,1.0,0,0,5,7,1110,0,111,111,47.6382,-122.359,1670,5400,2015,3
3,2.75,1360,542322,1.0,0,2,4,7,1140,220,60,60,47.2069,-122.024,1700,60548,2015,2
3,1.5,2200,7620,1.0,0,0,4,7,1130,1070,73,73,47.7263,-122.363,2170,7672,2015,4
3,1.75,1850,8823,1.0,0,0,4,8,1370,480,41,41,47.6379,-122.112,1880,7580,2014,8
3,2.25,1640,4420,2.0,0,0,4,7,1640,0,96,31,47.311,-122.21,1230,6632,2014,10
3,1.75,1340,10276,1.0,0,0,4,7,1340,0,53,53,47.7207,-122.222,2950,7987,2014,8
4,2.25,2390,12292,1.0,0,0,5,9,2390,0,53,53,47.5528,-122.221,2870,12337,2015,1
5,4.25,3920,5823,2.0,0,0,3,9,3000,920,15,15,47.5492,-122.008,3000,5297,2015,3
3,2.5,2540,51836,1.0,0,0,4,8,1820,720,38,38,47.389,-122.088,1650,51836,2014,9
3,2.0,1160,7217,1.0,0,0,3,7,1160,0,45,45,47.7279,-122.227,1870,9104,2014,7
4,4.25,4285,9345,2.0,0,0,3,10,4285,0,1,1,47.6332,-122.199,1570,8994,2014,12
3,2.25,2260,54014,1.0,0,0,3,7,1450,810,52,52,47.7657,-122.131,2140,44431,2014,9
2,1.0,830,6017,1.0,0,0,4,6,830,0,60,60,47.7466,-122.334,1340,6040,2014,5
5,2.75,2481,4045,2.0,0,0,3,8,2481,0,0,0,47.2602,-122.284,2363,4175,2014,6
3,2.0,1650,5027,1.5,0,0,3,7,1650,0,6,6,47.515,-121.874,2430,6000,2015,2
3,1.0,1010,9945,1.0,0,0,4,6,1010,0,41,41,47.5324,-121.763,1390,12710,2014,5
3,1.0,1360,5840,1.0,0,0,4,5,1360,0,62,62,47.4945,-122.166,1250,6708,2015,5
4,2.0,1650,9305,1.0,0,0,4,6,1650,0,54,54,47.7183,-122.213,1860,7486,2014,7
